problem,variant,problem_label,n_seeds,protocol_id,final_source_counts,structured_accept_rate_mean,structured_accept_rate,final_rL2_mean,final_rL2_std,final_rL2,coverage95_mean,coverage95_std,coverage95,nll_mean,nll_std,nll,aiw_mean,aiw_std,aiw,error_std_corr_mean,error_std_corr_std,error_std_corr,compression_ratio_mean,compression_ratio_std,compression_ratio,nu_rel_error_mean,nu_rel_error_std,nu_rel_error
laplace,GBSD,Laplace,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.00020826427363432,7.235308737934695e-05,2.083e-04 +/- 7.235e-05,0.9509428571428572,0.004022386336086368,0.9509 +/- 4.022e-03,-7.659459491777743,0.4139336245796686,-7.6595 +/- 0.4139,0.00047680878316157997,0.00016439236681084843,4.768e-04 +/- 1.644e-04,0.20284884874804981,0.3166919310182877,0.2028 +/- 0.3167,1.1243527751994964,0.01893536830089028,1.1244 +/- 0.0189,,,
laplace,deep_ensemble_pinn,Laplace,5,unified_blind_protocol_v1,deep_ensemble_pinn:5,0.0,0,0.00736089152298044,0.003117844296939056,7.361e-03 +/- 3.118e-03,1.0,0.0,1.0000 +/- 0,-3.613970899581909,0.291625806687527,-3.6140 +/- 0.2916,0.040126622840762086,0.013242254299170893,0.0401 +/- 0.0132,0.4493733468010171,0.2527498743615621,0.4494 +/- 0.2527,,,,,,
laplace,direct_mc_dropout_pinn,Laplace,5,unified_blind_protocol_v1,direct_mc_dropout_pinn:5,0.0,0,0.01408701494735414,0.004268765709653716,0.0141 +/- 4.269e-03,1.0,0.0,1.0000 +/- 0,-1.1063979864120483,0.03642596591898136,-1.1064 +/- 0.0364,0.5241673350334167,0.020322195927230655,0.5242 +/- 0.0203,0.4722587862184347,0.14125542546277298,0.4723 +/- 0.1413,,,,,,
laplace,structure_discovery_hac,Laplace,5,unified_blind_protocol_v1,dense_student:4; structured:1,0.2,0.2000,0.00023504587214192,0.00010150830633499156,2.350e-04 +/- 1.015e-04,1.0,0.0,1.0000 +/- 0,-1.752451777458191,0.04283700618504337,-1.7525 +/- 0.0428,0.27810041308403016,0.011773400939873785,0.2781 +/- 0.0118,0.1402855367318389,0.21194724519279037,0.1403 +/- 0.2119,14.118019989662372,0.3239717226461303,14.1180 +/- 0.3240,,,
laplace,structure_discovery_low_rank,Laplace,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.00021051790856037997,7.208984799318378e-05,2.105e-04 +/- 7.209e-05,1.0,0.0,1.0000 +/- 0,-1.752452278137207,0.04283675549915627,-1.7525 +/- 0.0428,0.27810041308403016,0.011773400939873785,0.2781 +/- 0.0118,0.13884385249297798,0.21095459028803248,0.1388 +/- 0.2110,15.610825186889016,0.31004496678915844,15.6108 +/- 0.3100,,,
laplace,structure_discovery_magnitude,Laplace,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.00021051790856037997,7.208984799318378e-05,2.105e-04 +/- 7.209e-05,1.0,0.0,1.0000 +/- 0,-1.752452278137207,0.04283675549915627,-1.7525 +/- 0.0428,0.27810041308403016,0.011773400939873785,0.2781 +/- 0.0118,0.13884385249297798,0.21095459028803248,0.1388 +/- 0.2110,14.118019989662372,0.3239717226461303,14.1180 +/- 0.3240,,,
laplace,structure_discovery_random,Laplace,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.00021051790856037997,7.208984799318378e-05,2.105e-04 +/- 7.209e-05,1.0,0.0,1.0000 +/- 0,-1.752452278137207,0.04283675549915627,-1.7525 +/- 0.0428,0.27810041308403016,0.011773400939873785,0.2781 +/- 0.0118,0.13884385249297798,0.21095459028803248,0.1388 +/- 0.2110,14.118019989662372,0.3239717226461303,14.1180 +/- 0.3240,,,
poisson,GBSD,Poisson,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.00017810665572286,1.728929971091719e-05,1.781e-04 +/- 1.729e-05,0.9495999999999999,0.005585513332154311,0.9496 +/- 5.586e-03,-11.005953344241918,0.1298188470398498,-11.0060 +/- 0.1298,1.6724989422982626e-05,1.5145923603977683e-06,1.672e-05 +/- 1.515e-06,0.4799016973023324,0.15434039467411537,0.4799 +/- 0.1543,1.1257094736493047,0.017865300462523343,1.1257 +/- 0.0179,,,
poisson,deep_ensemble_pinn,Poisson,5,unified_blind_protocol_v1,deep_ensemble_pinn:5,0.0,0,0.00147534888279582,0.0007022194786037238,1.475e-03 +/- 7.022e-04,0.9782285714285713,0.0039416664868907,0.9782 +/- 3.942e-03,519936.3664723736,21144.609898373954,5.199e+05 +/- 2.114e+04,0.00031806909246365997,0.00012440314944941748,3.181e-04 +/- 1.244e-04,0.4958149388896129,0.0670762750552761,0.4958 +/- 0.0671,,,,,,
poisson,direct_mc_dropout_pinn,Poisson,5,unified_blind_protocol_v1,direct_mc_dropout_pinn:5,0.0,0,0.01347554188055436,0.006893894908114398,0.0135 +/- 6.894e-03,0.9807142857142856,0.0007759128922285532,0.9807 +/- 7.759e-04,519941.6959042901,21144.39939644362,5.199e+05 +/- 2.114e+04,0.09058490991592402,0.002212420017284986,0.0906 +/- 2.212e-03,0.7223706729839406,0.10994921501886899,0.7224 +/- 0.1099,,,,,,
